Identifier (RIC),Company Name,Date,ESG_score,Social_score,Gov_score,Env_score,BVPS,Market_cap,Shares,Industry,Net_income,RETURN_ON_ASSET,QUICK_RATIO,ASSET_GROWTH,FNCL_LVRG,PE_RATIO,Scope_1,Scope_2,CO2_emissions,Energy_use,Water_use,Water_recycle,Toxic_chem_red,Injury_rate,Women_Employees,Human_Rights,Strikes,Turnover_empl,Board_Size,Shareholder_Rights,Board_gen_div,Bribery,Recycling_Initiatives,Total_assets
ALK,Alaska Air Group Inc,2021,50.48254945,39.63992514,86.0630969,32.64819037,30.39268209,6474416945,126775000,Airlines,464000000,3.4147,0.9176,-0.6763,4.1239,10.5475,905.4543902,2.884637285,7976125,107090478,59089.504,,0,28.803,,1,0,,12,1,41.66666667,1,0,13951000000
ALK,Alaska Air Group Inc,2020,54.76478447,44.82792507,87.86701992,37.97117517,24.20413123,6625511856,123450000,Airlines,-1324000000,-9.7933,0.8912,8.1044,3.6944,10.5475,937.9543804,1.300096805,7761999,112275897,61424.924,,0,27.16,,1,0,,12,1,41.66666667,1,0,14046000000
ALK,Alaska Air Group Inc,2019,54.78086974,47.53378754,83.23838167,38.60978203,35.13169315,6590256377,124289000,Airlines,769000000,6.4338,0.5761,19.0707,2.9578,10.5475,949.2740056,1.254877122,7503475,108025619.5,63348.931,,0,27.506,,1,0,,11,1,36.36363636,1,0,12993000000
ALK,Alaska Air Group Inc,2018,61.10430324,55.14174196,89.29964586,43.45236925,30.43901647,7068723596,123975000,Airlines,437000000,4.0355,0.5445,1.5448,3.0035,13.6321,858.5817722,2.115780591,5099633,73414401,68202.958,,0,32.976,54,1,0,,10,1,40,1,0,10912000000
ALK,Alaska Air Group Inc,2017,64.76905583,67.17896047,85.4188325,42.77115416,28.08190827,7248778365,123854000,Airlines,723000000,9.2718,0.7305,7.8699,3.2402,11.512,862.8063594,1.878885316,4840510,69695200,82806.8,,0,32.853,54,0,0,,11,1,45.45454545,1,0,10746000000
ALK,Alaska Air Group Inc,2016,55.66218011,51.08911554,87.34169898,32.98313322,23.72184498,7076278341,124389000,Airlines,797000000,9.5683,0.7424,52.5574,3.0872,12.3738,,,,,,,,,,,,,,,,,,9962000000
ALK,Alaska Air Group Inc,2015,,,,,18.78120789,7028431619,129372000,Airlines,848000000,13.4667,0.8532,7.6847,2.7752,12.0625,,,,,,,,,,,,,,,,,,6533000000
ALK,Alaska Air Group Inc,2014,,,,,15.70379121,7281515596,136801000,Airlines,605000000,10.1664,0.8833,3.8712,2.8638,14.7979,,,,,,,,,,,,,,,,,,6064000000
ALK,Alaska Air Group Inc,2013,,,,,14.50217997,7402391525,141878000,Airlines,508000000,8.9571,0.938,6.049,3.2878,13.6386,,,,,,,,,,,,,,,,,,5838000000
ALK,Alaska Air Group Inc,2012,,,,,10.04836794,7414982767,143568000,Airlines,316000000,5.922,0.9207,6.5415,4.1125,9.1566,,,,,,,,,,,,,,,,,,5505000000
ALLE,Allegion PLC,2021,73.40375216,83.38290372,66.44580957,68.26787654,8.443826474,10385605328,90500000,Building Products,483300000,15.7833,1.1331,-0.5995,3.8529,24.4624,,,100618,408600,394439.722,,1,1.95,36,1,0,,8,1,12.5,1,0,3051000000
ALLE,Allegion PLC,2020,59.52521192,62.27435928,67.24358974,41.10701352,8.985915493,10355606978,92800000,Building Products,314500000,10.4131,1.5383,3.4443,3.8043,22.7661,,,,,,,1,,,1,0,,7,1,28.57142857,1,0,3069400000
ALLE,Allegion PLC,2019,59.57897254,59.97902967,67.4,45.07902049,8.091880342,10113855566,94300000,Building Products,402100000,13.9094,1.3513,5.5868,4.1021,25.4909,8.628692755,28.83442545,102338,462330,,,1,,,1,0,,7,1,28.57142857,1,0,2967200000
ALLE,Allegion PLC,2018,47.47726304,58.84089693,45.47619048,31.17791234,6.852631579,10104150218,95700000,Building Products,413500000,16.2513,1.1688,10.5507,5.0847,17.1241,,,,,,,1,,,1,0,,7,1,28.57142857,1,0,2810200000
ALLE,Allegion PLC,2017,37.20505888,43.26741466,46.33333333,10.51693405,4.222923239,10155323874,96000000,Building Products,329000000,11.4127,1.6554,13.1085,9.3016,21.1839,,,,,,,1,,,1,0,,6,1,16.66666667,1,0,2542000000
ALLE,Allegion PLC,2016,33.00965314,46.7541872,36.17886179,3.431372549,1.182672234,9855340371,96900000,Building Products,231200000,10.1587,1.3324,-0.6894,32.4723,19.1713,8.827909676,28.74474155,77704,,,,0,,,1,0,,6,1,16.66666667,1,0,2247400000
ALLE,Allegion PLC,2015,28.54361028,30.94209162,38.50877193,6.77244582,0.266944734,9666527226,96900000,Building Products,154700000,7.1934,1.1253,12.2576,205.7163,21.7584,,,,,,,0,,,0,0,,6,1,16.66666667,1,0,2263000000
ALLE,Allegion PLC,2014,41.9183995,32.57938447,73.05555556,3.267973856,-0.049947971,10015037471,97200000,Building Products,183700000,8.724,0.9782,0.7648,3.1199,21.3734,,,,,,,0,,,0,0,,5,1,20,1,0,2015900000
ALLE,Allegion PLC,2013,,,,,-0.688541667,10069740345,96100000,Building Products,48400000,1.6213,0.9937,0.8469,3.1199,26.9942,,,,,,,,,,,,,,,,,,2000600000
ALLE,Allegion PLC,2012,,,,,13.99166667,10110326349,96000000,Building Products,230000000,10.9502,1.5827,-2.5734,1.4581,,,,,,,,,,,,,,,,,,,1983800000
AME,AMETEK Inc,2021,48.43311116,50.37985133,64.36906602,33.0261549,29.75421186,30364402028,232813000,Electrical Equipment,990053000,8.8971,0.7522,14.8753,1.7358,34.7739,,,,,,,0,,,0,0,,8,1,37.5,1,0,11898187000
AME,AMETEK Inc,2020,46.57431694,50.92936263,58.75348611,31.66671862,25.93042038,30350499974,231150000,Electrical Equipment,872439000,8.6371,1.6826,5.2102,1.8258,27.7144,,,,,,,0,,,0,0,,9,1,33.33333333,1,0,10357483000
AME,AMETEK Inc,2019,42.26573632,40.45126171,65.38635236,24.98103781,22.46010915,29516376759,229395000,Electrical Equipment,861297000,9.3079,0.798,13.6485,1.9778,26.7282,,,,,,,0,,,0,0,,9,1,33.33333333,1,0,9844559000
AME,AMETEK Inc,2018,26.17277106,29.15026235,26.42022008,22.71337861,18.37738007,30072458902,232712000,Electrical Equipment,766133000,9.4534,0.8634,11.111,1.9902,20.5798,,,,,,,0,,,0,0,,9,1,33.33333333,1,0,8662288000
AME,AMETEK Inc,2017,30.66502908,29.55969049,44.8033748,20.09075908,17.49402986,30090994974,231845000,Electrical Equipment,589870000,9.1493,1.1544,9.7933,2.0451,27.7205,,,,,,,0,,,0,0,,9,1,33.33333333,1,0,7796064000
AME,AMETEK Inc,2016,33.20225163,26.6121386,56.66255398,20.85230835,14.00090716,29567350956,233730000,Electrical Equipment,512158000,7.4435,1.4166,6.6095,2.1135,21.136,,,,,,,0,,,0,0,,8,1,25,1,0,7100674000
AME,AMETEK Inc,2015,32.44116267,29.91329851,53.04810997,18.03063224,13.56625512,28909320420,241586000,Electrical Equipment,590859000,9.0336,0.9612,3.7298,2.0143,20.998,,,,,,,0,,,0,0,,7,1,14.28571429,1,0,6660450000
AME,AMETEK Inc,2014,29.54343011,33.91813565,37.77892207,17.90074928,13.22890745,29527961804,247102000,Electrical Equipment,584460000,9.5043,1.0288,9.239,1.929,21.6921,,,,,,,0,,,0,0,,7,1,14.28571429,1,0,6420963000
AME,AMETEK Inc,2013,25.66447145,33.68505357,27.27989037,15.55506041,12.85743394,29708688500,246065000,Electrical Equipment,516999000,9.3423,0.9512,13.2532,1.9516,25.4523,,,,,,,0,,,0,0,,7,1,14.28571429,1,0,5877902000
AME,AMETEK Inc,2012,12.24247583,22.79737658,10.33164129,2.302631579,10.49699808,29731858590,243986000,Electrical Equipment,459132000,9.6562,0.7567,20.1544,2.0727,19.984,,,,,,,0,,,0,0,,8,1,12.5,1,0,5190056000
AOS,A O Smith Corp,2021,54.00154295,46.2908336,58.07782524,59.02930495,11.45792209,10784338541,161319900,Building Products,487100000,14.6825,1.1314,9.925,1.8028,29.695,22.00053463,24.36361814,138754,2030842.8,1370806.738,,0,,42,1,0,,10,1,20,1,0,3474400000
AOS,A O Smith Corp,2020,52.04805145,41.10365709,56.74584021,60.09099171,11.44241472,10897395090,162604150,Building Products,344900000,11.0924,1.4381,3.3584,1.7691,25.3944,20.7663352,24.32416324,143744,1902160.8,964340.768,,0,,,1,0,,10,1,20,1,0,3160700000
AOS,A O Smith Corp,2019,41.56413871,32.65950433,58.37558372,37.28373876,10.07431591,10462441424,166710900,Building Products,370000000,12.0728,1.4885,-0.4395,1.8114,21.4595,22.10197884,27.59135049,148916,1894870.8,1048918.184,,0,,,1,0,,11,1,18.18181818,1,0,3058000000
AOS,A O Smith Corp,2018,40.35379016,34.81925394,54.62287941,34.50987574,10.06510664,10768636243,172194040,Building Products,444200000,14.1715,1.6456,-3.9376,1.8647,16.1191,,,,,,,0,,,0,0,,10,1,20,1,0,3071500000
AOS,A O Smith Corp,2017,39.21154111,31.54732662,60.62491062,29.74093049,9.526481348,10895824860,174605190,Building Products,378300000,9.7398,1.7797,10.5984,1.9266,35.9134,,,,,,,0,,,0,0,,10,1,10,1,0,3197400000
AOS,A O Smith Corp,2016,26.94238012,27.99118757,50.88011516,5.848348348,8.673096881,10641447626,176825280,Building Products,326500000,11.8293,1.6631,9.9574,1.8664,25.4379,,,,,,,,,,,,,,,,,,2891000000
AOS,A O Smith Corp,2015,,,,,8.120039896,10660290384,179009180,Building Products,282900000,10.9982,1.7554,4.5283,1.822,24.5036,,,,,,,,,,,,,,,,,,2629200000
AOS,A O Smith Corp,2014,,,,,7.648944406,10917808078,181973960,Building Products,207800000,8.4699,1.6809,5.1767,1.8106,24.7412,,,,,,,,,,,,,,,,,,2515300000
AOS,A O Smith Corp,2013,,,,,7.211933413,11180036461,185575340,Building Products,169700000,7.2672,1.5987,4.9456,1.8512,27.8981,,,,,,,,,,,,,,,,,,2391500000
AOS,A O Smith Corp,2012,,,,,6.461914721,11156483013,186216240,Building Products,162600000,6.8586,1.7545,-2.9885,2.0298,41.5125,,,,,,,,,,,,,,,,,,2278800000
BA,Boeing Co,2021,82.88269624,92.7226164,70.15421641,82.05077087,-25.52586794,1.101E+11,587600000,Aerospace & Defense,-4290000000,-2.8911,0.2318,-8.9289,115.1484,20.1204,7.227239501,10.26904666,1484000,,,,1,,,1,0,,13,1,30.76923077,1,1,1.38552E+11
BA,Boeing Co,2020,79.93879066,89.38837375,71.12263333,74.49341221,-32.21245164,1.15323E+11,568600000,Aerospace & Defense,-11941000000,-8.3097,0.3168,13.8529,115.1484,20.1204,10.92685435,8.612932254,1976000,,,,1,,,1,0,,13,1,23.07692308,1,1,1.52136E+11
BA,Boeing Co,2019,77.71701741,79.62717681,77.18997023,74.9048174,-15.22438163,1.13632E+11,566000000,Aerospace & Defense,-636000000,-0.5068,0.1383,13.86,115.1484,20.1204,11.87170895,9.488856976,2008000,,,,1,,,1,1,,13,1,23.07692308,1,1,1.33625E+11
BA,Boeing Co,2018,80.25680333,80.77199004,78.32499284,81.93877551,0.585290055,1.19713E+11,585500000,Aerospace & Defense,10460000000,9.1067,0.1581,4.4472,115.1484,20.1204,7.878248802,12.65294772,1919584.75,,,,1,,,1,0,,13,1,15.38461538,1,1,1.17359E+11
BA,Boeing Co,2017,69.49118471,57.87901183,78.8101774,78.24839302,2.748547718,1.17463E+11,610000000,Aerospace & Defense,7187000000,8.3594,0.1768,24.8508,81.8273,27.5553,7.409326425,11.22625216,1791140,,6435200,,1,,,1,0,,13,1,15.38461538,1,1,1.12362E+11
BA,Boeing Co,2016,66.49733556,60.73716296,61.48911976,83.9743125,1.285601888,1.15685E+11,642800000,Aerospace & Defense,5034000000,5.4597,0.3847,-4.6723,25.7837,14.6815,7.542088099,12.86163813,1851883,,6624467.5,,1,,,1,0,,11,1,18.18181818,1,1,89997000000
BA,Boeing Co,2015,73.28709641,64.01439424,78.36107929,83.50847829,9.222594264,1.14513E+11,695000000,Aerospace & Defense,5176000000,5.5261,0.4161,1.6003,12.4886,15.7112,7.762476479,13.05624372,1803380,14570322,6775883.9,,1,,,1,0,,11,1,18.18181818,1,1,94408000000
BA,Boeing Co,2014,58.80077453,53.42036262,45.59034381,86.76060811,11.90901594,1.15865E+11,736700000,Aerospace & Defense,5446000000,5.869,0.4356,0.2784,7.8838,16.3193,7.466523048,12.55844696,1636000,13335907,7201000,,1,,,1,0,5.64,11,1,18.18181818,1,1,92921000000
BA,Boeing Co,2013,66.30821389,55.90635541,66.1789478,85.71216365,19.60073791,1.21864E+11,767600000,Aerospace & Defense,4586000000,5.0507,0.4302,4.2375,8.7532,21.7131,10.44591547,15.63977595,1793000,13578569,6283784,,1,,,1,0,2.89,12,1,16.66666667,1,1,92663000000
BA,Boeing Co,2012,69.4601515,60.07702182,70.26027822,85.71364267,7.763662829,1.24517E+11,761500000,Aerospace & Defense,3903000000,4.6186,0.4342,11.1394,18.0006,14.4657,,,1717000,12945536,6170222,,1,,,1,1,,14,1,14.28571429,1,1,88896000000
CARR,Carrier Global Corp,2021,53.5433211,75.75190169,32.16846484,47.09077067,7.79877838,39135942487,890300000,Building Products,1701000000,6.4918,0.8133,4.3,3.9377,24.2071,10.70187901,11.23012145,382845,4194215,3885000,,0,,27,1,0,8.7,138,1,12.5,1,1,26172000000
CARR,Carrier Global Corp,2020,,,,,7.215233699,38308526092,880200000,Building Products,2006000000,8.3454,1.1538,11.9923,2.3336,58.2924,,,,,,,,,,,,,,,,,,25093000000
CARR,Carrier Global Corp,2019,,,,,16.27986424,37293448246,866223440,Building Products,2155000000,9.587,0.823,3.0777,1.5755,,,,,,,,,,,,,,,,,,,22406000000
CARR,Carrier Global Corp,2018,,,,,16.06629347,38282935894,866223440,Building Products,2769000000,,0.8513,,,,,,,,,,,,,,,,,,,,,21737000000
CARR,Carrier Global Corp,2017,,,,,,38581488201,866223440,Building Products,1267000000,,,,,,,,,,,,,,,,,,,,,,,0
CARR,Carrier Global Corp,2016,,,,,,38137924773,,Building Products,,,,,,,,,,,,,,,,,,,,,,,,0
CARR,Carrier Global Corp,2015,,,,,,37395809037,,Building Products,,,,,,,,,,,,,,,,,,,,,,,,0
CARR,Carrier Global Corp,2014,,,,,,38632668597,,Building Products,,,,,,,,,,,,,,,,,,,,,,,,0
CARR,Carrier Global Corp,2013,,,,,,37711058663,,Building Products,,,,,,,,,,,,,,,,,,,,,,,,0
CARR,Carrier Global Corp,2012,,,,,,38138815680,,Building Products,,,,,,,,,,,,,,,,,,,,,,,,0
CAT,Caterpillar Inc,2021,72.13560659,77.46507976,79.50521172,60.17132608,30.30147059,1.04418E+11,548500000,Machinery,6426000000,8.055,0.8838,5.7058,5.0642,18.5357,16.62355083,19.80933218,1521000,19340000,12794685.8,,1,2.1,20,1,0,,11,1,27.27272727,1,1,82793000000
CAT,Caterpillar Inc,2020,68.45152157,79.35077198,63.73362141,60.47466477,28.17680573,1.03217E+11,548600000,Machinery,2909000000,3.8245,1.0103,-0.1644,5.24,26.5407,16.82156134,17.21189591,1831000,23950000,14157433.4,,1,2.15,20,1,0,,12,1,25,1,1,78324000000
CAT,Caterpillar Inc,2019,69.24062216,81.50483905,64.45730631,59.82692617,25.97578348,97976412364,567500000,Machinery,5888000000,7.7637,0.9806,-0.0713,5.483,12.3515,16.99499287,24.12192537,2250000,25160000,14573828.5,,1,2.65,20,1,0,,12,1,25,1,1,78453000000
CAT,Caterpillar Inc,2018,65.09265865,81.85686947,55.78598823,54.53176476,23.73858641,1.00522E+11,599400000,Machinery,6020000000,7.9076,0.8938,2.0101,5.6054,11.3253,18.91689763,28.37534644,2150000,23690000,15293056.4,,1,2.45,,1,0,,13,1,23.07692308,1,1,78509000000
CAT,Caterpillar Inc,2017,72.79077187,80.15268496,84.75097797,54.78036176,23.14464346,1.00243E+11,599300000,Machinery,3114000000,0.9943,0.9058,3.0226,5.652,22.9005,22.39406285,34.09710149,2177000,23050000,14649536.7,,1,2.5,,1,0,,12,1,16.66666667,1,1,76962000000
CAT,Caterpillar Inc,2016,74.78070046,78.17414326,74.43365431,71.36225511,22.48331337,98973164139,584300000,Machinery,-53000000,-0.0876,0.8269,-4.6437,5.4765,28.2767,18.93173938,29.78026419,2290000,24680800,14460300,,1,2.95,,1,0,,12,1,16.66666667,1,1,74704000000
CAT,Caterpillar Inc,2015,69.00936669,70.0284845,46.50413644,86.65024466,24.91839139,1.00034E+11,601300000,Machinery,2523000000,3.0818,0.8432,-7.4857,5.1663,12.7028,17.9399826,26.81936793,2470000,27400000,16428700,,1,3.55,,1,0,,12,1,8.333333333,1,1,78342000000
CAT,Caterpillar Inc,2014,74.6556917,69.64784894,69.9077255,84.08386211,27.13220998,1.02467E+11,628900000,Machinery,2460000000,2.8919,0.8601,-0.2533,4.5152,12.8009,18.32686503,26.05289636,2470000,27883656,15671597.4,,1,3.9,,1,0,,15,1,6.666666667,1,1,84681000000
CAT,Caterpillar Inc,2013,76.39329048,71.22152608,70.50775212,86.94853725,32.25511469,1.02864E+11,658600000,Machinery,3809000000,4.3585,0.8443,-4.5791,4.5345,16.2604,,,2608650,27469900,18397100,,1,5.1,,1,1,,16,1,6.25,1,1,84896000000
CAT,Caterpillar Inc,2012,72.79492402,66.5416848,66.82472456,84.60233308,26.8648483,1.04359E+11,669600000,Machinery,5708000000,6.6672,0.8077,9.238,5.603,10.5012,,,2838510,28445300,19532700,,1,5.15,,1,0,,15,1,6.666666667,1,1,88970000000
CHRW,CH Robinson Worldwide Inc,2021,40.57023703,49.34265757,43.02900534,29.01780786,15.26195257,13210868197,133834000,Air Freight & Logistics,844245000,13.8715,1.2689,36.6205,3.1196,16.7406,0.12617922,1.948836517,33630,334656,,,0,1.1,46.78,1,0,18.02,10,1,30,1,0,7028112000
CHRW,CH Robinson Worldwide Inc,2020,43.89576367,60.84003062,40.84564682,28.08123852,13.87076853,13258523663,136173000,Air Freight & Logistics,506421000,10.3506,1.464,10.8423,2.7559,24.5958,0.12541226,1.954994243,31850,297864,,,0,0.95,45.72,0,0,19.2,10,1,30,1,0,5144258000
CHRW,CH Robinson Worldwide Inc,2019,42.31067378,57.35761901,44.21058483,24.42655724,12.1991165,13500664954,137735000,Air Freight & Logistics,576968000,12.7247,1.5567,4.8256,2.7768,18.3744,0.131680215,1.806844966,32240,302184,,,0,1.45,44.84,0,0,21.3,9,1,33.33333333,1,0,4641060000
CHRW,CH Robinson Worldwide Inc,2018,39.72273109,64.88105764,29.98280605,20.58448154,11.47462053,12452244684,140405000,Air Freight & Logistics,667905000,15.3408,1.7728,4.5228,2.8678,17.6735,,,,309564,,,0,1.15,44.83,0,0,20.7,9,1,22.22222222,1,0,4427412000
CHRW,CH Robinson Worldwide Inc,2017,33.63786668,57.99632217,29.53095953,10.67196253,10.13971268,12466412526,141382000,Air Freight & Logistics,492793000,12.744,1.2316,14.862,2.9526,26.6332,,,,,,,0,,43.6,0,0,17.9,8,1,25,1,0,4235834000
CHRW,CH Robinson Worldwide Inc,2016,30.77665083,59.13234018,20.22825416,8.848317934,8.814254481,12390421376,142991000,Air Freight & Logistics,513384000,14.9411,1.0613,15.8085,2.8535,20.3921,,,,,,,0,,43.28,0,0,16.6,9,1,33.33333333,1,0,3687758000
CHRW,CH Robinson Worldwide Inc,2015,21.79809165,43.32040509,17.54295533,2.028199029,7.935944042,11903562823,145349000,Air Freight & Logistics,509699000,15.9313,1.1555,-0.9327,2.9119,17.5592,,,,,,,0,,,0,0,,10,1,30,1,0,3184358000
CHRW,CH Robinson Worldwide Inc,2014,23.93205698,39.40737834,30.73463783,1.498308139,7.112777,11897122895,147542000,Air Freight & Logistics,449711000,14.9476,1.0791,14.6824,3.0287,24.5289,,,,,,,0,,,0,0,,10,1,30,1,0,3214338000
CHRW,CH Robinson Worldwide Inc,2013,23.85380914,39.80153556,28.19116136,2.962645321,5.988745499,11846891457,157080000,Air Freight & Logistics,415904000,14.8351,1.269,-0.0502,2.2941,21.8377,,,,,,,0,,,0,0,,10,1,20,1,0,2802818000
CHRW,CH Robinson Worldwide Inc,2012,22.55966818,36.2104358,27.48900169,3.663558664,9.311710418,11701349085,161946000,Air Freight & Logistics,593804000,24.0296,1.3165,31.1586,1.7953,22.7703,,,,,,,0,,,0,0,,8,1,12.5,1,0,2804225000
CMI,Cummins Inc,2021,69.17276111,76.54718133,68.41025183,60.73349391,58.60304288,29765763348,145900000,Machinery,2164000000,9.1984,1.0131,4.8002,2.802,15.1761,12.54987169,23.58680745,859005,15191627.47,3643429.314,53657.574,0,,26.87,1,0,,12,1,25,1,1,23710000000
CMI,Cummins Inc,2020,70.41783032,80.86492624,65.88047731,60.9315807,54.39946019,29493728284,149000000,Machinery,1811000000,8.4464,1.2126,14.6273,2.7209,18.9351,14.9209908,26.46690817,845472,14382914.48,3649135.24,53657.574,0,,26.4,1,0,12,12,1,25,1,1,22624000000
CMI,Cummins Inc,2019,71.4056032,81.96816318,70.98766722,58.83624829,48.30759331,27925609931,156100000,Machinery,2259000000,11.6498,0.7759,3.5411,2.6118,12.4136,17.35930093,30.45073962,837107,13599136.79,3536437.577,53657.574,0,3.135,25.8,1,0,,10,1,20,1,1,19737000000
CMI,Cummins Inc,2018,76.74273128,78.75177923,82.70654967,70.03533038,45.30968597,29072145148,162773350,Machinery,2199000000,11.5303,0.8083,5.4606,2.5424,8.8985,15.28058608,28.13589744,829690,13623360.96,3605992.843,95142.264,0,2.94,26.08,1,0,,10,1,20,1,1,19062000000
CMI,Cummins Inc,2017,73.72908607,75.33634171,77.02951602,69.41359054,43.56480756,29033689930,167270870,Machinery,1775000000,6.0388,0.8593,20.4117,2.3409,16.6524,15.20383955,28.85666719,846887,13440273.24,3679418.52,,0,3.05,25.91,1,0,,8,1,25,1,1,18075000000
CMI,Cummins Inc,2016,75.39579582,74.9470684,73.25760468,77.46973917,40.67122969,28951082423,169336620,Machinery,1456000000,9.2486,0.9672,-0.8127,2.1108,15.6984,15.61158315,30.53927519,798455,12733639.42,3633993.6,,0,3.25,25.81,1,0,,8,1,25,1,1,15011000000
CMI,Cummins Inc,2015,74.55141165,73.49757772,72.69408967,77.16190755,41.59795926,29315694865,178406830,Machinery,1470000000,9.0556,1.1704,-3.9964,2.0388,9.4922,14.67249337,30.15137879,776977,6273060,3974680,,0,3.45,,1,0,,9,1,22.22222222,1,1,15134000000
CMI,Cummins Inc,2014,74.74195501,73.64837696,75.81282392,75.30930444,42.42829118,30492139696,183079300,Machinery,1736000000,10.8291,1.2778,7.0342,1.9983,16.4005,14.03180408,31.43406472,820568,6233730,4088250,,0,3.9,,1,0,,10,1,20,1,1,15764000000
CMI,Cummins Inc,2013,63.66299993,63.1174683,54.50385554,70.869842,40.1616348,31056149567,187417840,Machinery,1588000000,10.874,1.5472,17.3733,1.9327,17.8374,,,759836,5845100,4315370,,0,5.75,,1,0,,10,1,20,1,1,14728000000
CMI,Cummins Inc,2012,68.5101685,65.5811705,69.46586265,71.39579326,34.88356981,31147302677,189668700,Machinery,1738000000,13.5861,1.228,7.542,2.0021,12.6315,,,597023,,4146200,,0,5.15,,1,0,,10,1,20,1,1,12548000000
CPRT,Copart Inc,2021,34.57638698,46.34056077,37.86304369,1.860465116,14.93829047,28794173016,240290000,Commercial Services & Supplies,936495000,23.3616,3.6313,32.0347,1.3321,39.7286,,,,,,,0,,,0,0,,9,1,11.11111111,1,0,4562143000
CPRT,Copart Inc,2020,30.83418231,34.90832603,41.7244471,,10.67536299,29178918647,238656000,Commercial Services & Supplies,699907000,23.319,2.3253,35.6272,1.4065,36.6673,,,,,,,0,,,0,0,,9,1,11.11111111,1,0,3455261000
CPRT,Copart Inc,2019,38.51704495,36.73022936,59.76091807,,7.715687083,28699174095,240453000,Commercial Services & Supplies,592793000,24.373,1.963,10.3965,1.4453,35.0292,,,,,,,0,,,0,0,,7,1,,1,0,2547617000
CPRT,Copart Inc,2018,35.587338,38.25499412,50.41694463,,6.821168025,29183668593,241877000,Commercial Services & Supplies,426107000,19.4801,2.2583,16.4034,1.6013,33.7124,,,,,,,0,,,0,0,,8,1,,1,0,2307698000
CPRT,Copart Inc,2017,32.07864724,39.06398195,40.35648785,,4.801631932,29575029202,237019000,Commercial Services & Supplies,394261000,21.7066,1.7274,20.1647,1.9398,24.8812,,,,,,,0,,,0,0,,8,1,,1,0,1982501000
